曲名,アーティスト,アルバム,再生時間,ビットレート(kbps),サンプリングレート(Hz),ファイルサイズ(MB),拡張子,ファイルパス
Super Mario Galaxy 2,Time Attack,,3:27,192,44100,4.9,.mp3,E:\MUSIC\1 SMG & mkw\Time Attack - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Time Attack (Yoshi),,3:30,192,44100,5.0,.mp3,E:\MUSIC\1 SMG & mkw\Time Attack (Yoshi) - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Toad Brigade,,0:40,192,44100,1.1,.mp3,E:\MUSIC\1 SMG & mkw\Toad Brigade - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Topman's Tower,,3:19,192,44100,4.7,.mp3,E:\MUSIC\1 SMG & mkw\Topman's Tower - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Twisty Trials (Yoshi),,1:31,192,44100,2.2,.mp3,E:\MUSIC\1 SMG & mkw\Twisty Trials (Yoshi) - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Unidentified Planet,,1:20,192,44100,2.0,.mp3,E:\MUSIC\1 SMG & mkw\Unidentified Planet - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Upside Dizzy Galaxy,,1:15,192,44100,1.9,.mp3,E:\MUSIC\1 SMG & mkw\Upside Dizzy Galaxy - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Warp Pipe Room,,1:00,192,44100,1.5,.mp3,E:\MUSIC\1 SMG & mkw\Warp Pipe Room - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Warp Room (Yoshi),,0:23,192,44100,0.7,.mp3,E:\MUSIC\1 SMG & mkw\Warp Room (Yoshi) - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Wii Channel,,0:04,191,44100,0.2,.mp3,E:\MUSIC\1 SMG & mkw\Wii Channel - Super Mario Galaxy 2.mp3
